Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,strain,tissue
SRR12868164,RNA-Seq,300,11884925100,PRJNA669810,SAMN16458314,Model organism or animal,3588932381,NORTHWESTERN UNIVERSITY,public,Biological replicate 2,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",young adult,SRX9334513,Illumina NovaSeq 6000,NIC251_GZ_B5_C8_GZpool_05_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:21:00Z,1,NIC251_GZ_B5_C8_GZpool_05_2019,hermaphrodite,SRP288011,NIC251,whole animals
SRR12868165,RNA-Seq,300,11532303000,PRJNA669810,SAMN16458313,Model organism or animal,3554361230,NORTHWESTERN UNIVERSITY,public,Biological replicate 1,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",young adult,SRX9334512,Illumina NovaSeq 6000,NIC251_GZ_B3_F3_GZpool_03_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:17:00Z,1,NIC251_GZ_B3_F3_GZpool_03_2019,hermaphrodite,SRP288011,NIC251,whole animals
SRR12868166,RNA-Seq,300,7163824200,PRJNA669810,SAMN16458312,Model organism or animal,2174935669,NORTHWESTERN UNIVERSITY,public,Biological replicate 3,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",young adult,SRX9334511,Illumina NovaSeq 6000,NIC242_GZr_B3_C3_GZpool_07_2020,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:11:00Z,1,NIC242_GZr_B3_C3_GZpool_07_2020,hermaphrodite,SRP288011,NIC242,whole animals
SRR12868167,RNA-Seq,300,12205266900,PRJNA669810,SAMN16458311,Model organism or animal,3715688480,NORTHWESTERN UNIVERSITY,public,Biological replicate 2,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",young adult,SRX9334510,Illumina NovaSeq 6000,NIC242_GZ_B5_C7_GZpool_05_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:21:00Z,1,NIC242_GZ_B5_C7_GZpool_05_2019,hermaphrodite,SRP288011,NIC242,whole animals
SRR12868168,RNA-Seq,300,7908011400,PRJNA669810,SAMN16457879,Model organism or animal,2472269626,NORTHWESTERN UNIVERSITY,public,Biological replicate 1,"run.zq,sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",young adult,SRX9334509,Illumina NovaSeq 6000,DL226_GZ_B4_C3_GZpool_04_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:13:00Z,1,DL226_GZ_B4_C3_GZpool_04_2019,hermaphrodite,SRP288011,DL226,whole animals
SRR12868169,RNA-Seq,300,6351264900,PRJNA669810,SAMN16458310,Model organism or animal,1945379506,NORTHWESTERN UNIVERSITY,public,Biological replicate 1,"run.zq,sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",young adult,SRX9334508,Illumina NovaSeq 6000,NIC242_GZ_B3_F2_GZpool_03_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:12:00Z,1,NIC242_GZ_B3_F2_GZpool_03_2019,hermaphrodite,SRP288011,NIC242,whole animals
SRR12868170,RNA-Seq,300,12701888100,PRJNA669810,SAMN16458309,Model organism or animal,3862984196,NORTHWESTERN UNIVERSITY,public,Biological replicate 3,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",young adult,SRX9334507,Illumina NovaSeq 6000,NIC236_GZ_B5_F5_GZpool_06_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:25:00Z,1,NIC236_GZ_B5_F5_GZpool_06_2019,hermaphrodite,SRP288011,NIC236,whole animals
SRR12868171,RNA-Seq,300,10307360700,PRJNA669810,SAMN16458308,Model organism or animal,3158414922,NORTHWESTERN UNIVERSITY,public,Biological replicate 2,"run.zq,sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",young adult,SRX9334506,Illumina NovaSeq 6000,NIC236_GZ_B2_I8_GZpool_03_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:21:00Z,1,NIC236_GZ_B2_I8_GZpool_03_2019,hermaphrodite,SRP288011,NIC236,whole animals
SRR12868172,RNA-Seq,300,23109824100,PRJNA669810,SAMN16458307,Model organism or animal,7011315562,NORTHWESTERN UNIVERSITY,public,Biological replicate 1,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",young adult,SRX9334505,Illumina NovaSeq 6000,NIC236_GZ_B1_A7_GZpool_01_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:56:00Z,1,NIC236_GZ_B1_A7_GZpool_01_2019,hermaphrodite,SRP288011,NIC236,whole animals
SRR12868173,RNA-Seq,300,7104778500,PRJNA669810,SAMN16458306,Model organism or animal,2179647070,NORTHWESTERN UNIVERSITY,public,Biological replicate 3,"sra,run.zq,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",young adult,SRX9334504,Illumina NovaSeq 6000,NIC231_GZr_B5_F4_GZpool_08_2020,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:20:00Z,1,NIC231_GZr_B5_F4_GZpool_08_2020,hermaphrodite,SRP288011,NIC231,whole animals
SRR12868174,RNA-Seq,300,8544582000,PRJNA669810,SAMN16458305,Model organism or animal,2598351797,NORTHWESTERN UNIVERSITY,public,Biological replicate 2,"fastq,run.zq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",young adult,SRX9334503,Illumina NovaSeq 6000,NIC231_GZ_B7_D3_GZpool_06_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:19:00Z,1,NIC231_GZ_B7_D3_GZpool_06_2019,hermaphrodite,SRP288011,NIC231,whole animals
SRR12868175,RNA-Seq,300,6455188500,PRJNA669810,SAMN16458304,Model organism or animal,2020267622,NORTHWESTERN UNIVERSITY,public,Biological replicate 1,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",young adult,SRX9334502,Illumina NovaSeq 6000,NIC231_GZ_B7_A8_GZpool_04_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:12:00Z,1,NIC231_GZ_B7_A8_GZpool_04_2019,hermaphrodite,SRP288011,NIC231,whole animals
SRR12868176,RNA-Seq,300,8525137800,PRJNA669810,SAMN16458303,Model organism or animal,2622410816,NORTHWESTERN UNIVERSITY,public,Biological replicate 3,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",young adult,SRX9334501,Illumina NovaSeq 6000,NIC207_GZm_B3_F1_GZpool_0307_2020,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:16:00Z,1,NIC207_GZm_B3_F1_GZpool_0307_2020,hermaphrodite,SRP288011,NIC207,whole animals
SRR12868177,RNA-Seq,300,8835731100,PRJNA669810,SAMN16458302,Model organism or animal,2669222918,NORTHWESTERN UNIVERSITY,public,Biological replicate 2,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",young adult,SRX9334500,Illumina NovaSeq 6000,NIC207_GZr_B2_I7_GZpool_07_2020,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:28:00Z,1,NIC207_GZr_B2_I7_GZpool_07_2020,hermaphrodite,SRP288011,NIC207,whole animals
SRR12868178,RNA-Seq,300,11785828800,PRJNA669810,SAMN16458301,Model organism or animal,3547592549,NORTHWESTERN UNIVERSITY,public,Biological replicate 1,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",young adult,SRX9334499,Illumina NovaSeq 6000,NIC207_GZ_B5_C6_GZpool_05_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:22:00Z,1,NIC207_GZ_B5_C6_GZpool_05_2019,hermaphrodite,SRP288011,NIC207,whole animals
SRR12868179,RNA-Seq,300,13021497300,PRJNA669810,SAMN16457878,Model organism or animal,3936279907,NORTHWESTERN UNIVERSITY,public,Biological replicate 3,"sra,run.zq,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",young adult,SRX9334498,Illumina NovaSeq 6000,DL200_GZ_B4_C2_GZpool_05_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:26:00Z,1,DL200_GZ_B4_C2_GZpool_05_2019,hermaphrodite,SRP288011,DL200,whole animals
SRR12868180,RNA-Seq,300,11432940300,PRJNA669810,SAMN16458147,Model organism or animal,3518381450,NORTHWESTERN UNIVERSITY,public,Biological replicate 3,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",young adult,SRX9334497,Illumina NovaSeq 6000,JU2811_GZm_B6_D8_GZpool_0408_2020,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:20:00Z,1,JU2811_GZm_B6_D8_GZpool_0408_2020,hermaphrodite,SRP288011,JU2811,whole animals
SRR12868181,RNA-Seq,300,8117131800,PRJNA669810,SAMN16458146,Model organism or animal,2474852483,NORTHWESTERN UNIVERSITY,public,Biological replicate 2,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",young adult,SRX9334496,Illumina NovaSeq 6000,JU2811_GZ_B1_F2_GZpool_07_2020,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:12:00Z,1,JU2811_GZ_B1_F2_GZpool_07_2020,hermaphrodite,SRP288011,JU2811,whole animals
SRR12868182,RNA-Seq,300,8853137700,PRJNA669810,SAMN16458145,Model organism or animal,2713893152,NORTHWESTERN UNIVERSITY,public,Biological replicate 1,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",young adult,SRX9334495,Illumina NovaSeq 6000,JU2811_GZ_B6_G3_GZpool_06_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:15:00Z,1,JU2811_GZ_B6_G3_GZpool_06_2019,hermaphrodite,SRP288011,JU2811,whole animals
SRR12868183,RNA-Seq,300,9412189500,PRJNA669810,SAMN16458144,Model organism or animal,2888329382,NORTHWESTERN UNIVERSITY,public,Biological replicate 1,"sra,fastq,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",young adult,SRX9334494,Illumina NovaSeq 6000,JU2800_GZ_B9_D4_GZpool_08_2020,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:18:00Z,1,JU2800_GZ_B9_D4_GZpool_08_2020,hermaphrodite,SRP288011,JU2800,whole animals
SRR12868184,RNA-Seq,300,8809788600,PRJNA669810,SAMN16458143,Model organism or animal,2744806752,NORTHWESTERN UNIVERSITY,public,Biological replicate 3,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",young adult,SRX9334493,Illumina NovaSeq 6000,JU2619_GZm_B6_G2_GZpool_0408_2020,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:21:00Z,1,JU2619_GZm_B6_G2_GZpool_0408_2020,hermaphrodite,SRP288011,JU2619,whole animals
SRR12868185,RNA-Seq,300,7773657600,PRJNA669810,SAMN16458142,Model organism or animal,2392896767,NORTHWESTERN UNIVERSITY,public,Biological replicate 2,"run.zq,fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",young adult,SRX9334492,Illumina NovaSeq 6000,JU2619_GZr_B5_H9_GZpool_08_2020,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:21:00Z,1,JU2619_GZr_B5_H9_GZpool_08_2020,hermaphrodite,SRP288011,JU2619,whole animals
SRR12868186,RNA-Seq,300,9164093100,PRJNA669810,SAMN16458141,Model organism or animal,2801106096,NORTHWESTERN UNIVERSITY,public,Biological replicate 1,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",young adult,SRX9334491,Illumina NovaSeq 6000,JU2619_GZ_B7_F7_GZpool_06_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:22:00Z,1,JU2619_GZ_B7_F7_GZpool_06_2019,hermaphrodite,SRP288011,JU2619,whole animals
SRR12868187,RNA-Seq,300,9254377800,PRJNA669810,SAMN16457862,Model organism or animal,2804434042,NORTHWESTERN UNIVERSITY,public,Biological replicate 2,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",young adult,SRX9334490,Illumina NovaSeq 6000,CX11285_GZr_B4_C1_GZpool_07_2020,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:22:00Z,1,CX11285_GZr_B4_C1_GZpool_07_2020,hermaphrodite,SRP288011,CX11285,whole animals
SRR12868188,RNA-Seq,300,7877006700,PRJNA669810,SAMN16458140,Model organism or animal,2431396694,NORTHWESTERN UNIVERSITY,public,Biological replicate 3,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",young adult,SRX9334489,Illumina NovaSeq 6000,JU2610_GZr_B5_H8_GZpool_08_2020,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:18:00Z,1,JU2610_GZr_B5_H8_GZpool_08_2020,hermaphrodite,SRP288011,JU2610,whole animals
SRR12868189,RNA-Seq,300,7702779600,PRJNA669810,SAMN16458139,Model organism or animal,2397007888,NORTHWESTERN UNIVERSITY,public,Biological replicate 2,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",young adult,SRX9334488,Illumina NovaSeq 6000,JU2610_GZ_B7_C9_GZpool_06_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:16:00Z,1,JU2610_GZ_B7_C9_GZpool_06_2019,hermaphrodite,SRP288011,JU2610,whole animals
SRR12868190,RNA-Seq,300,6996974100,PRJNA669810,SAMN16458138,Model organism or animal,2183063536,NORTHWESTERN UNIVERSITY,public,Biological replicate 1,"run.zq,fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",young adult,SRX9334487,Illumina NovaSeq 6000,JU2610_GZ_B7_A5_GZpool_04_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:15:00Z,1,JU2610_GZ_B7_A5_GZpool_04_2019,hermaphrodite,SRP288011,JU2610,whole animals
SRR12868191,RNA-Seq,300,7807667100,PRJNA669810,SAMN16458137,Model organism or animal,2365643831,NORTHWESTERN UNIVERSITY,public,Biological replicate 3,"fastq,run.zq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",young adult,SRX9334486,Illumina NovaSeq 6000,JU2600_GZ_B4_I4_GZpool_05_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:16:00Z,1,JU2600_GZ_B4_I4_GZpool_05_2019,hermaphrodite,SRP288011,JU2600,whole animals
SRR12868192,RNA-Seq,300,10099145100,PRJNA669810,SAMN16458136,Model organism or animal,3092574288,NORTHWESTERN UNIVERSITY,public,Biological replicate 2,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",young adult,SRX9334485,Illumina NovaSeq 6000,JU2600_GZ_B2_E3_GZpool_03_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:33:00Z,1,JU2600_GZ_B2_E3_GZpool_03_2019,hermaphrodite,SRP288011,JU2600,whole animals
SRR12868193,RNA-Seq,300,26997124800,PRJNA669810,SAMN16458135,Model organism or animal,8153069513,NORTHWESTERN UNIVERSITY,public,Biological replicate 1,"run.zq,fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",young adult,SRX9334484,Illumina NovaSeq 6000,JU2600_GZ_B2_B2_GZpool_01_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T18:08:00Z,1,JU2600_GZ_B2_B2_GZpool_01_2019,hermaphrodite,SRP288011,JU2600,whole animals
SRR12868194,RNA-Seq,300,7667392200,PRJNA669810,SAMN16458134,Model organism or animal,2390409376,NORTHWESTERN UNIVERSITY,public,Biological replicate 3,"fastq,sra,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",young adult,SRX9334483,Illumina NovaSeq 6000,JU2592_GZr_B5_H7_GZpool_08_2020,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:21:00Z,1,JU2592_GZr_B5_H7_GZpool_08_2020,hermaphrodite,SRP288011,JU2592,whole animals
SRR12868195,RNA-Seq,300,9564897000,PRJNA669810,SAMN16458133,Model organism or animal,2938514792,NORTHWESTERN UNIVERSITY,public,Biological replicate 2,"fastq,run.zq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",young adult,SRX9334482,Illumina NovaSeq 6000,JU2592_GZ_B7_C8_GZpool_06_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:18:00Z,1,JU2592_GZ_B7_C8_GZpool_06_2019,hermaphrodite,SRP288011,JU2592,whole animals
SRR12868196,RNA-Seq,300,7675398600,PRJNA669810,SAMN16458132,Model organism or animal,2394794828,NORTHWESTERN UNIVERSITY,public,Biological replicate 1,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",young adult,SRX9334481,Illumina NovaSeq 6000,JU2592_GZ_B7_A4_GZpool_04_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:18:00Z,1,JU2592_GZ_B7_A4_GZpool_04_2019,hermaphrodite,SRP288011,JU2592,whole animals
SRR12868197,RNA-Seq,300,7002699900,PRJNA669810,SAMN16458131,Model organism or animal,2149524260,NORTHWESTERN UNIVERSITY,public,Biological replicate 3,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",young adult,SRX9334480,Illumina NovaSeq 6000,JU2586_GZr_B5_H6_GZpool_08_2020,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:18:00Z,1,JU2586_GZr_B5_H6_GZpool_08_2020,hermaphrodite,SRP288011,JU2586,whole animals
SRR12868198,RNA-Seq,300,10893872700,PRJNA669810,SAMN16457861,Model organism or animal,3348628926,NORTHWESTERN UNIVERSITY,public,Biological replicate 1,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",young adult,SRX9334479,Illumina NovaSeq 6000,CX11285_GZ_B3_I4_GZpool_03_2019,PAIRED,PolyA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2022-02-10T00:00:00Z,2020-10-21T17:24:00Z,1,CX11285_GZ_B3_I4_GZpool_03_2019,hermaphrodite,SRP288011,CX11285,whole animals
